sep=,
Tmf8828 Arduino Uno + 2 tmf8828 
#Vers,3.224.52.27
#Vers,3.224.52.27
#Conf,Period=132ms,KIter=250
#Obj,67,0,21,16,239649,29,132,35,131,36,136,29,140,22,141,20,143,38,121,48,123,0,0,28,130,34,133,33,140,30,133,18,144,33,142,36,122,50,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,0,22,16,293593,33,129,46,130,43,136,31,141,30,143,26,145,45,113,47,111,0,0,32,131,46,130,41,141,32,132,22,144,40,140,44,113,48,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,0,22,0,344789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,1,21,16,474671,28,131,34,136,31,144,29,130,11,140,37,134,34,126,50,118,0,0,28,131,33,140,31,145,29,132,11,140,38,132,32,127,48,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,1,22,16,538191,33,131,46,134,38,148,32,127,11,141,42,123,45,114,47,116,0,0,33,132,44,137,33,146,31,130,11,140,42,127,44,114,46,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,1,22,0,596529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,2,21,16,708285,28,131,35,134,33,141,23,145,28,135,26,132,39,117,50,112,0,0,27,135,35,131,23,145,29,136,21,136,35,130,39,112,49,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,2,22,16,772765,33,133,46,136,42,141,30,147,33,128,40,127,45,111,48,108,0,0,32,136,47,130,31,147,32,132,31,132,41,119,46,106,48,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,2,22,0,829945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,3,21,16,944573,26,139,34,130,20,148,29,130,18,135,38,122,39,109,49,118,0,0,26,139,34,135,19,149,30,131,18,134,38,123,38,108,47,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,3,22,16,1010201,31,143,46,131,26,150,33,127,30,134,42,117,46,104,47,120,0,0,30,144,45,135,25,150,32,130,30,133,42,122,45,104,46,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,3,22,0,1066393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,4,21,16,1143923,28,133,35,132,36,135,29,140,22,141,20,143,38,122,48,123,0,0,28,130,34,134,33,140,30,132,18,144,33,142,36,122,50,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,4,22,16,1210601,33,131,46,131,43,135,30,142,30,142,26,145,44,112,47,111,0,0,33,131,46,129,41,141,32,131,22,143,40,139,43,113,48,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,5,22,0,1265845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,5,21,16,1343549,28,131,34,135,31,144,30,130,11,140,37,134,34,126,49,116,0,0,28,131,33,138,31,146,29,132,11,140,38,132,33,127,48,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,5,22,16,1411063,33,131,45,134,38,148,30,147,33,128,39,128,45,111,48,107,0,0,32,136,47,129,31,146,32,133,31,133,41,118,46,107,48,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,6,22,1,1465269,0,0,0,0,0,0,2163,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
